figure,status,interval,count
8,GTR,"[0,180)",11
8,GTR,"[180,360)",8
8,GTR,"[360,540)",3
8,GTR,"[540,720)",1
8,GTR,"[720,+inf)",1
8,STR,"[0,180)",2
8,STR,"[180,360)",1
8,STR,"[360,540)",2
8,STR,"[540,720)",0
8,STR,"[720,+inf)",0
8,NA,"[0,180)",9
8,NA,"[180,360)",5
8,NA,"[360,540)",2
8,NA,"[540,720)",0
8,NA,"[720,+inf)",2
9,GTR,<-720,1
9,GTR,"[-720,-540)",1
9,GTR,"[-540,-360)",3
9,GTR,"[-360,-180)",3
9,GTR,"[-180,0)",6
9,GTR,"[0,180)",5
9,GTR,"[180,360)",5
9,GTR,"[360,540)",0
9,GTR,"[540,720)",0
9,GTR,>=720,0
9,STR,<-720,0
9,STR,"[-720,-540)",0
9,STR,"[-540,-360)",2
9,STR,"[-360,-180)",1
9,STR,"[-180,0)",1
9,STR,"[0,180)",1
9,STR,"[180,360)",0
9,STR,"[360,540)",0
9,STR,"[540,720)",0
9,STR,>=720,0
9,NA,<-720,2
9,NA,"[-720,-540)",0
9,NA,"[-540,-360)",2
9,NA,"[-360,-180)",1
9,NA,"[-180,0)",5
9,NA,"[0,180)",4
9,NA,"[180,360)",4
9,NA,"[360,540)",0
9,NA,"[540,720)",0
9,NA,>=720,0
